
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    172.21.83.116:59079    43.141.49.159:443      ESTABLISHED     20964
  TCP    172.21.83.116:59115    220.181.174.38:443     TIME_WAIT       0
  TCP    172.21.83.116:59116    220.181.174.37:443     TIME_WAIT       0
  TCP    172.21.83.116:59188    114.250.66.41:443      TIME_WAIT       0
  TCP    172.21.83.116:59328    182.50.15.221:443      TIME_WAIT       0
  TCP    172.21.83.116:59330    57.155.141.116:443     TIME_WAIT       0
  TCP    172.21.83.116:59331    57.155.141.116:443     TIME_WAIT       0
  TCP    172.21.83.116:59365    43.141.70.102:443      TIME_WAIT       0
  TCP    172.21.83.116:59366    182.50.15.221:443      TIME_WAIT       0
  TCP    172.21.83.116:59369    43.141.49.159:443      TIME_WAIT       0
  TCP    172.21.83.116:59370    182.50.15.221:443      TIME_WAIT       0
  TCP    172.21.83.116:59372    43.141.49.159:443      TIME_WAIT       0
  TCP    172.21.83.116:59374    43.156.86.196:443      TIME_WAIT       0
  TCP    172.21.83.116:59376    43.156.86.196:443      TIME_WAIT       0
  TCP    172.21.83.116:59377    182.50.15.221:443      TIME_WAIT       0
  TCP    172.21.83.116:59381    43.141.49.159:443      TIME_WAIT       0
  TCP    172.21.83.116:59382    43.156.86.196:443      TIME_WAIT       0
  TCP    172.21.83.116:59386    43.141.49.159:443      TIME_WAIT       0
  TCP    172.21.83.116:59387    43.141.49.159:443      TIME_WAIT       0
  TCP    172.21.83.116:59388    43.141.49.159:443      TIME_WAIT       0
  TCP    172.21.83.116:59389    182.50.15.221:443      TIME_WAIT       0
  TCP    172.21.83.116:59392    182.50.15.221:443      TIME_WAIT       0
  TCP    172.21.83.116:59393    117.190.80.44:80       TIME_WAIT       0
  TCP    172.21.83.116:59394    43.141.70.102:443      TIME_WAIT       0
  TCP    172.21.83.116:59395    43.156.86.196:443      TIME_WAIT       0
  TCP    172.21.83.116:59397    43.156.86.196:443      TIME_WAIT       0
  TCP    172.21.83.116:59398    182.50.15.221:443      TIME_WAIT       0
  TCP    172.21.83.116:59399    43.141.70.102:443      TIME_WAIT       0
  TCP    172.21.83.116:59400    43.156.86.196:443      TIME_WAIT       0
  TCP    172.21.83.116:59401    43.141.70.102:443      TIME_WAIT       0
  TCP    172.21.83.116:59402    43.141.131.149:443     TIME_WAIT       0
  TCP    172.21.83.116:59404    182.50.15.221:443      ESTABLISHED     5696
  TCP    172.21.83.116:59405    117.190.80.44:80       TIME_WAIT       0
  TCP    172.21.83.116:59407    117.190.80.44:80       TIME_WAIT       0
  TCP    172.21.83.116:59412    43.141.70.102:443      TIME_WAIT       0
  TCP    172.21.83.116:59413    43.141.70.102:443      TIME_WAIT       0
  TCP    172.21.83.116:59414    43.141.70.102:443      TIME_WAIT       0
  TCP    172.21.83.116:59415    117.190.80.44:80       TIME_WAIT       0
  TCP    [::]:135               [::]:0                 LISTENING       1264
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:808               [::]:0                 LISTENING       5536
  TCP    [::]:7680              [::]:0                 LISTENING       9340
  TCP    [::]:22331             [::]:0                 LISTENING       22060
  TCP    [::]:33060             [::]:0                 LISTENING       7036
  TCP    [::]:49664             [::]:0                 LISTENING       1000
  TCP    [::]:49665             [::]:0                 LISTENING       900
  TCP    [::]:49666             [::]:0                 LISTENING       1632
  TCP    [::]:49667             [::]:0                 LISTENING       2116
  TCP    [::]:49668             [::]:0                 LISTENING       5268
  TCP    [::]:49676             [::]:0                 LISTENING       972
  TCP    [::]:54360             [::]:0                 LISTENING       22060
  TCP    [::1]:35783            [::]:0                 LISTENING       1596
  TCP    [::1]:49669            [::]:0                 LISTENING       5976
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:53850  [2408:871a:6010:302::1:16c]:443  ESTABLISHED     20964
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:57027  [2408:8719:2000:10::22]:443  ESTABLISHED     11692
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:57042  [2408:80f1:21:1::9]:443  ESTABLISHED     33576
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:58386  [240e:97d:10:2500::17]:443  ESTABLISHED     26788
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:58387  [240e:97d:10:2500::17]:443  ESTABLISHED     26788
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:58570  [240e:97d:10:2500::17]:443  ESTABLISHED     39932
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:58687  [240e:97d:10:2500::17]:443  ESTABLISHED     25376
  TCP    [2403:ac00:b101:fcc:e067:e410:9a2a:e810]:58688  [240e:97d:10:2500::17]:443  ESTABLISHED     25376
